category,title,content
sport,Kirwan demands Italy consistency,Italy coach John Kirwan challenged side match performance produced pushing Ireland close meet Wales Saturday Despite losing 2817 Sundays Six Nations encounter Italians confirmed continuing improvement Our goal match every side face Ireland showed could said Kirwan But important thing build performance play Wales Saturday Italys halfbacks mixed afternoon recalled scrumhalf Alessandro Troncon impressing flyhalf Luciano Orquera offday boot Kirwan said I happy Troncon He incredible game good attack defence Orqueras kicking showed great courage defence He also followed game plan We give confidence capability well
sport,Tindall wants second opinion,England centre Mike Tindall seek second opinion surgery foot injury could force miss entire Six Nations The Bath player already opener Wales 5 February hand problem Mike specialist review fracture right mid foot said England doctor Simon Kemp Before final decision made surgery medical teams decided see second specialist England coach Andy Robinson already without centre Will Greenwood flanker Richard Hill flyhalf Jonny Wilkinson certain miss least first two games Robinson expected announce newlook England lineup Monday match Millennium Stadium And Newcastles 18yearold centre Mathew Tait set stand Tindall alongside club teammate Jamie Noon Meanwhile Tindall targeting return action end regular Zurich Premiership season 30 April He also aim back full fitness Lions tour New Zealand summer
sport,Sella wants Michalak recall,Former France centre Philippe Sella believes coach Bernard Laporte must recall Frederic Michalak give side chance beating Ireland Sella admitted impressed current flyhalf Yann Delaigue RBS Six Nations date But told BBC Sport Michalak answer future Delaigue deserved chance time come bring back Michalak He weaknesses allround game upset Ireland The 22yearold Michalak spent much tournament bench Delaigue impressed Castres early season With Michalak overlooked French stuttered narrow wins Scotland England ironically playing best rugby defeat Wales The Wales game amazing watch never I think French could lose game halftime said Sella Their mistakes didnt score enough points first half little bit less focused second little bit Sella however insisted pressure eased underfire Laporte despite defeat Stade de France This season important shaping team 2007 World Cup said Sella Laporte well The French get better every game Its difficult though change team change tactics everything gel But players talent take way World Cup victory As result important people give time It may seem good winning Grand Slam one care two years time world champions The majority media criticism centred way France produced performance devoid running rugby opening two games But Sella admitted liked flowing style employed Wales said win important Winning matters added Ok flair may good discipline organisation defence important ahead 2007 France play Sella believes hardest game Six Nations Ireland Dublin Saturday 12 March The French go game clear underdogs But Sella added People forget France still win Six Nations theyll focused But Ireland going even front home crowd Its going tough
politics,Prime ministers questions,So anyone playing politics security nation Michael Howard doubt prime minister claims ramming Parliament controversial new antiterror measures without proper debate He didnt say Tories believe prime minister playing fear card one look tough run general election And believe Tony Blair using issue suggest Tories soft terrorism Why earth prime minister simply take Tories offer extend existing powers temporarily allow proper parliamentary debate laws demanded The prime minister claims clearest indication Tories playing politics issue attempting score cheap political points parliament Is opposition proposed laws principle case delaying decision debate would pointless What really believes Mr Blair Tories spotting opportunity embarrass maybe even defeat government And important national security Liberal Democrat leader Charles Kennedy avoided suggesting anyone playing politics issue He preferred state issues like ID cards governments immediate instinct authoritarian As habit nowadays prime minister less rough Mr Kennedy Mr Howard prefers exasperated tone suggesting believes Lib Dems missed point Apart electioneering usual The first question prime minister Derby Norths Bob Laxton asked effect would carry excellent policy pouring resources schools Later Birminghams Sion Simon even went far suggest Tories shower general election The prime minister almost blushed This appropriate place announce election day stammered But anyone doubt announcement days away announcement coming week beginning 4 April election 5 May big money Commons And perhaps simple fact alone means everyone seen playing politics everything moment
entertainment,US raise TV indecency fines,US politicians proposing tough new law aimed cracking indecency bad language US TV Fines 500000 266582 could imposed time broadcasters transmit nudity profanities The proposal unveiled House Representatives also seeks revoke broadcasters licence three violations committed The exposure Janet Jacksons breast last years Superbowl landed CBS 550000 293264 fine Entertainers could also liable fines proposed legisation US politcians officials Federal Communications Commission FCC A Republican senator Kansas Sam Brownbeck set call maximum 3 million 16 million fine repeated violations The current maximum fine stands 32500 17320 20 stations CBS network penalised lesser amounts Jackson incident Republican politician Fred Upton chairs committee responsible broadcasting said current fines cost business rather deterrent Last years Janet Jackson wardrobe malfunction encouraged FCC impose tougher rules US Congress adjourned last year without agreeing new level fines New figures decided new legislation put President Bush Certain broadcasters like Fox claim material carry violate indecency laws protected right free speech
politics,New rules tackle sham weddings,New rules marriage foreign nationals living UK coming force From Tuesday nonEU citizens need Home Office approval marry The Home Office says new rules aimed reducing number sham marriages estimated 15000 year But immigrants group Joint Council Welfare Immigrants JCWI says rules breach human rights law may mount legal challenge When changes unveiled last year immigration minister Des Browne said Our aim avoid unnecessary disruption genuine marriages providing firm controls prevent abuse Under previous regulations anybody wishing get married UK produce evidence resident country week give 15 days notice wedding local register office But Tuesday nonEU nationals apart citizens Switzerland Liechtenstein Iceland Norway intending wed UK must either obtain visa allowing get married enter country apply Home Office certificate marriage approval To get certificate costing 135 applicants send proof legal right UK Those without settled status asylum seekers awaiting decision application right marry UK Once necessary documentation subject immigration controls wishing get married England Wales must register intention marry one 76 speciallydesignated register offices They however marry register office church choice Rhian Beynon JCWI said new rules proportionate discriminatory These rules means cases Home Secretary going marriage registrar last resort Were currently taking legal opinion Well looking people whose right marry breached well looking taking case Human Rights Court Ms Beynon said The new rules also called question parliamentary Joint Committee Human Rights In report published last July crossparty committee stated significant risk new procedures incompatible right marry introduced restrictions disproportionate The committee believed new laws might incompatible Human Rights Act grounds religion belief nationality report added Over last year immigration service operations marriages convenience stepped resulting growing number convictions In January 25 people took part sham marriage network based Leicester jailed total 35 years And last November Samuel Amoah Belgian national set two sham weddings couples wanted remain UK jailed three years Several cases currently going courts The role registrars Asylum Immigration Act 1999 obliged report suspected sham marriages Home Office key many prosecutions Registrars spokesman Mark Rimmer said welcomed new marriage regulations believed would significant deterrent They effectively remove blatant cases Certainly illegals country quite longer getting married Mr Rimmer said Mr Rimmer service director registrations marriages Brent Council northwest London said consider new law infringement civil liberties It may seen far draconian certainly still difficult marry UK marry example Holland Germany France I think proportionate response government large problem Mr Rimmer said
business,Euronext joins bid battle LSE,PanEuropean stock market Euronext approached London Stock Exchange LSE possible takeover bid The approach early stage therefore require response point LSE said Talks European stock market rival bidder Deutsche Boerse continue LSE said Last week group rejected 13bn 25bn takeover offer Deutsche Boerse claiming undervalued business LSE saw shares surge 49 new high 583p early trade following announcement Monday The offer follows widespread media speculation Euronext would make offer LSE Experts widely expect bidding war Europes biggest stock market lists stocks total capitalisation 14 trillion break Commentators say deal Euronext owns Liffe derivatives exchange London combines Paris Amsterdam Lisbon stock exchanges could potentially offer LSE cost savings deal Deutsche Boerse A weekend report Telegraph quoted unnamed executive Euronext saying group would make cash bid trump Deutsche Boerses offer Because already Liffe London cost savings available us merger far greater Deutsche Boerse newspaper quoted executive saying Euronext chief executive JeanFrancois Theodore reported already held private talks LSEs chief executive Clara Furse Further reports suggested Euronext could make offer excess LSEs 533p share closing price Friday However Euronext said could guarantee stage firm offer would made LSE There extensive speculation possible takeover company since attempted merger Deutsche Boerse failed 2000
tech,Satellite mapping aids Darfur relief,Aid workers trying house feed clothe millions homeless refugees Sudanese region Darfur getting helping hand advanced mapping technology A European consortium companies university groups known Respond working provide accurate date maps The aim overcome huge logistical challenges getting supplies needed Respond using satellite imagery produce accurate maps used field rapidly Respond produced detailed maps example road networks rivers villages largescale maps useful general planning purposes said Einar Bjorgo Unosat UN satellite mapping organisation part Respond consortium The group uses satellites Nasa European Space Agency Disaster Monitoring Constellation The satellite data transmitted ground stations From information makes way Respond organisations specialise interpreting data You convert data images interpreter convert crisis damage situation maps said Stefan Voigt works remote sensing department one organisations German Aerospace Centre This kind detailed analysis usually takes couple months Respond gets done 12 hours Our users usually much familiar reading satellite imagery reading satellite maps task transfer data information nontechnical people read understand easily efficiently said Mr Voigt Respond supplies maps aid groups via web compact disc But best map one hold hands especially remote areas internet connections laptops scarce A map working document explains Herbert Hansen Responds Belgian partner Keyobs You need use need write correct give feedback need paper write We print maps laminate maps encapsulate maps needed take shower map completely protected Humanitarian groups Darfur making good use Responds maps They come especially handy Sudans rainy season normally dry riverbeds wadis became flooded These wadis small amount flooding generally terms depth greatly impeded transport capabilities capacities humanitarian groups ground says Stephen Candillon Respond imaging partner Sertit Responds rapid imaging allowed aid groups find ways around wadis allowing mark maps roads washed times Aid groups say combination satellite technology ontheground observation helped keep relief flowing needed Clark Boyd technology correspondent The World BBC World Service WGBHBoston coproduction
tech,China blocks Google news site,China accused blocking access Google News media watchdog Reporters Without Borders The Parisbased pressure group said Englishlanguage news site unavailable past 10 days It said aim force people use Chinese edition site according watchdog include critical reports Google told BBC News website aware problems investigating causes China believed extend greater censorship net country world A net police force monitors websites emails controls gateways connecting country global internet designed prevent access critical information Popular Chinese portals Sinacom Sohucom maintain close eye content delete politically sensitive comments And 110000 net cafes country use software control access websites considered harmful subversive China censoring Google News force internet users use Chinese version site purged critical news reports said group statement By agreeing launch news service excludes publications disliked government Google let used Beijing said For part search giant said looking issue It appears many users China difficulty accessing Google News sites China working understand resolve issue said Google spokesperson Google News gathers information 4500 news sources Headlines selected display entirely computer algorithm human editorial intervention It offers 15 editions service including one tailored China one Hong Kong Google launched version simplified Chinese September The site filter news results remove politically sensitive information But Google link news sources inaccessible within China would result broken links
entertainment,SpiderMan creator wins profits,SpiderMan creator Stan Lee get multimillion dollar windfall winning court battle comic book company Marvel A judge upheld Lees demand 10 Marvels profits hugely successful SpiderMan films SpiderMan sequel made 16bn 857m box offices worldwide Of cut due Lee 82 created SpiderMan 1962 lawyer said It could tens millions dollars thats exaggeration US District Court Judge Robert W Sweet ruled Lee get tenth profits generated since November 1998 Marvel TV movie productions involving companys characters Lee took legal action 2002 saying Marvel shut jackpot profits first blockbuster film He said company worked 60 years gone back agreement give 10 As well SpiderMan Lee cocreated Incredible Hulk XMen Daredevil Fantastic Four characters He said I gratified judges decision although since I deeply fond Marvel people I sincerely regret situation come The ruling also means entitled slice profits DVD sales certain merchandise Marvel said would appeal expect decision impact financial forecasts 2004 beyond The New York court rule Lees claims share profits SpiderMan Hulk movie merchandise decided future trial Marvel said
